5, 41	go off sb/sth	to stop liking someone or something
5, 41	hanker after/for sth	to want something very much, especially something you know you should not want
5	head off swh	to begin a journey or to leave
5, 24	hit on sth	to have a good idea, especially one that solves a problem
5, 59	keep in with sb	British & Australian to continue to be friendly with someone, especially because they can help you
5, 32	pore over sth	to study or look carefully at something, especially a book or document
5, 28	be riddled with sth	be full of something, especially something bad or unpleasant
5, 7, 32	sail through (sth)	to succeed very easily, especially in a test, examination etc.
5	stream into swh	to move continuously in one direction, especially if a lot of people do this at the same time
6	accede to sth	formal to agree to something that someone has asked for [e.g. request, demand], often after disagreeing with it
6	ascribe sth to sth	formal to believe or say that something is caused by something else
6	be asking for sth	informal to behave stupidly in a way that is likely to cause problems for you
6	couldn't ask for sb/sth	if you say that you couldn't ask for someone or something better, you mean that that person or thing is the best of their kind
6	attend to sb/sth	to deal with a situation or problem
6, 36	bail out sb/sth or bail sb/sth out	to help a person or organisation by giving them money
6, 34	base sth on sth	if you base something on particular facts or ideas, you use those facts or ideas to develop that thing
6	bear on sth	formal to be directly connected to something
6, 15	buy up sth or buy sth up	to quickly buy a lot of something, often all that is available
6, 42	call in (on)	British & Australian to visit a place or person for a short time, usually while you are going somewhere else
6	call on sth	formal to use something, especially a quality that you have, in order to achieve something
6, 36	carry forward sth or carry sth forward	to include an amount of money in a later set of calculations
6, 27	fall through	if a plan or agreement falls through, it fails to happen
6	gang up	informal to form a group to act against someone else
6, 45	gloss over sth	to avoid discussing something, or to discuss something without talking about the details in order to make it seem unimportant
6	go into sth	to describe, discuss, or examine something in a detailed way
6, 58	go over to sth	to leave one group or organisation and join a group or organisation that is competing against them
6	be gunning for sb	informal to try to harm someone or cause trouble for them
6	hack into sth	to get into someone else's computer system without permission in order to look at information or do something illegal
6	hang about/around/round with sb	informal to spend time with someone
6	log in/into sth	to connect a computer to a system of computers by typing your name or password, usually so that you can start working
6	muck up sth or muck sth up	informal to do something very badly
6	predispose sb to/towards sth	formal predisposing someone to something makes it more likely that that thing will happen
6	preside over sth	formal to be in charge of an event or situation and have official responsibility for it
6, 54	print off sth or print sth off	to print a particular number of copies of something
6, 51, 53	put out sth or put sth out	to produce information [e.g. statement, warning, press release] and make it available for everyone to read or hear
6	scroll down/up	to move text or other information on a computer screen, in order to view a different part of it
6	sell up (sth) or sell (sth) up	British & Australian to sell your house or business in order to go somewhere else or do something else
6	shoot down sb/sth or shoot sb/sth down	informal to criticise someone’s ideas or suggestions and refuse to consider them
6, 36	square up	informal to pay someone the money you owe them
6	sum up (sth/sb) or sum (sth/sb) up	to describe briefly the most important facts or characteristics of something or someone
6	take on sth or take sth on	to accept a particular job or responsibility and begin to do what is needed
6	take over sth or take sth over	to get control of a company by buying most of its shares (= the equal parts into which the ownership of the company is divided)
6, 35	turn over sth or turn sth over	if a business or a company turns over an amount of money, it makes that amount in a particular period of time
6	want for	formal if someone does not want for anything, they have everything they need in order to have a satisfactory life
7	boil down to sth	slightly informal if a situation or problem boils down to a particular thing, that is the main reason for it
7	brush down/off sb/sth or brush sb/sth down	to use a brush or your hand to remove something
7	brush off sb/sth or brush sb/sth off	to refuse to listen to what someone says, or to refuse to think about something seriously
7	climb down	to admit that you are wrong
7	dive in/into sth	to start doing something suddenly without thinking about it
7	drag sb away from	informal to make somebody stop doing something, so that they can do something else
7	drink in	to look at, listen to, or experience something with all your attention and to enjoy it very much
7	eat into sth	to use or take away a large part of something valuable [e.g. savings, profits, leisure time, business]
7	fish out sth or fish sth out	informal to pull or take something out of a bag or pocket, especially after searching
7	flood in/into sth	to arrive or enter somewhere in very large numbers or amounts
7	be glued to sth	to be watching something [esp. television] with all your attention
7	hit out	to strongly criticise something or someone
7	nose about/around (swh)	informal to look around a place, often in order to find something
7	run over	to continue past the expected finishing time
7	run over sth	to quickly read something or repeat something in order to remember it or to make sure that it is correct
7	be sandwiched between sb/sth	informal to be in a small space in the middle of two people or things
7	shoot up	if the number, amount, or rate of something shoots up, it increases very quickly
7	soldier on	to continue doing something, although it is difficult or unpleasant
7	spur on sb or spur sb on	to encourage someone to try harder in order to achieve something
7	stand by	to do nothing to prevent something unpleasant from happening
7	strike out	to start doing something that you have not done before
7	sweep aside sth or sweep sth aside	to refuse to think about something or let it affect your performance
7	warm up sb or warm sb up	to make a group of people who are going to watch a performance start to enjoy themselves by entertaining them for a short time before the performance
7	warm up sth or warm sth up	to heat food that has already been cooked
8	clean up your act	to start to behave better
8	come into one’s own	to be very successful
8	cut off your nose to spite your face	to do something because you are angry, though it may cause you more problems
8	dig your heels in	to refuse to do what others try to persuade you to do
8	get off on the wrong foot	to start something badly
8	get on like a house on fire	to immediately like each other
8, 57	get your act together	to organise yourself more efficiently
8	be going round in circles	to use a lot of time and effort with no results
8	let off steam	to talk or act in a way that helps get rid of strong feelings
8	make up for lost time	to do something to compensate for not doing it previously
8	make up your mind	to make a decision about something
8	pull out all the stops	to do everything you can
8	put down roots	to settle down and make a relationship more permanent
8	put in a good word for someone	to say good things about someone to people in authority
8	run rings round	to outwit and be cleverer than people
8	take the sting out of something	to make something that is unpleasant seem less so
8	throw the baby out with the bathwater	to get rid of the good parts of something as well as the bad parts
8	turn up the heat	to make a relationship more intense
8	wake up to the fact	to be realistic
9	ask around	to ask several people in order to try to get information or help
9	bang about/around	to move around a place, making a lot of noise
9	blunder about/around	to move in an awkward way, usually because you cannot see where you are going
9	boss about/around sb or boss sb about/around	to tell people what they should do all the time
9	clown about/around	to act in a silly way
9	crowd around/round (sth/sb)	to surround something or someone, standing very close to them
9	be floating about/around	if you say something is floating around, you mean that you have seen it somewhere but you do not know exactly where it is
9	fly about/around (swh)	if rumours fly around, they are made in a way which makes people excited
9, 57	get around	if news or information gets around, a lot of people hear about it
9	knock sb about/around	informal to hit or kick someone several times
9	knock sth about/around	informal to consider an idea
9	lie about/around (swh)	if things are lying around, they are untidily left in places where they should not be
9	play about/around	to behave in a stupid way
9	potter about/around (swh)	British & Australian to spend time in a pleasant, relaxed way, often doing small jobs in or around the house
9	roll about/around	informal to laugh a lot about something
9	run about/around	to run and play
9, 31	run around/round after sb	informal to do a lot of things for someone else, especially when they should be able to do more for themselves
9	skirt around/round sth	to avoid discussing a difficult subject or problem
9	switch around/round	to move two or more things, so that each of them is now in the place that one of the others was in before
9, 44	turn around/round (sb/sth) or turn (sth/sb) around/round	to turn so that you are facing the opposite direction, or to make someone or something do this
9	turn around/round sth or turn sth around	to change an unsuccessful business, plan or system so that it becomes successful
9	work around/round sth	to organise activities to ensure that a problem does not prevent you from doing what you want to do
10	come down	if you come down when you are suggesting a price for something, you suggest or agree to a lower price
10, 57	get sb down	to make someone feel unhappy
10	gun down sb or gun sb down	to shoot someone and kill or seriously injure them, often when they cannot defend themselves
10, 26	knock down sb/sth or knock sb/sth down	informal to reduce a price, or to persuade someone to reduce the price of something that they are selling
10	pin down sb or pin sb down	to force someone to stay in a horizontal position by holding them
10	put down sth or put sth down	to kill an animal because it is very old or very ill
10	shout down sb or shout sb down	to shout in order to prevent someone who is saying something that you disagree with from being heard
10	slam down sth or slam sth down	to put something down with a lot of force
10	tie down sth/sb or tie sth/sb down	to fasten something or someone in a particular position, especially by using ropes
10, 29	tie sb down	to stop someone from being free to do what they want to do
