33	send up sb/sth or send sb/sth up	informal to make someone or something seem stupid by copying them in a funny way
33	stand in	to do someone else’s job for a short period of time, or to take someone else’s place at an event, because that person cannot be there
33	take off sb/sth or take sb/sth off	to copy the way a person behaves, or to copy the way something is done, often in order to make people laugh
33	tie in with sth	if one event ties in with another, it is planned so that both events happen at the same time
33	turnout n	the number of people who come to watch or take part in an event or activity
34	bank on sth	to depend on something happening
34	be thrown together	if people are thrown together in a situation, that situation causes them to meet each other and to get to know each other
34	calm down (sth) or calm (sth) down	if a situation calms down, or if you calm it down, it becomes more peaceful
34	caught up in sth	to be involved in a situation, often when you do not want to be
34	crop up	if a problem crops up, it suddenly happens, often when it is not expected
34	get out of sth/doing sth	to avoid doing something that you should do, often by giving an excuse
34	hot up	informal if an event or situation hots up, it becomes more exciting and there is a lot more activity
34	mix up sb/sth or mix sb/sth up	to confuse two people or things by thinking that one person or thing is the other person or thing
34	muddle up sb/sth or muddle sb/sth up	to confuse two people or things in your mind
34	revolve around/round sth/sb	if an activity or conversation revolves around something or someone, that thing or person is the main reason for the activity, or the main subject of the conversation
34	run up against sth	if you run up against problems or difficulties, you begin to experience them
34	thrown together	if people are thrown together in a situation, that situation causes them to meet each other and to get to know each other
34	turn out	to happen in a particular way or to have a particular result
35	check up on sb	to discover what someone is doing in order to be certain that they are doing what they should be doing or what they said they would do
35	find out (sth) or find (sth) out	to get information about something because you want to know more about it, or to learn a fact or piece of information for the first time
35	give up	to stop trying to think of the answer to a joke or question
35	latch on	informal, British & Australian to understand something
35	match up	if two pieces of information match up, they are the same and this shows that the information is likely to be correct
35	point out sb/sth or point sb/sth out	to make a person notice someone or something, usually by telling them where they are or by holding up one of your fingers towards them
35	point out sth or point sth out	to tell someone a fact that they did not already know, especially one that is important in the present discussion or situation
35	slip out	if a piece of information slips out while you are talking to someone, you tell it to them without intending to
35	track down sb/sth or track sb/sth down	to find someone or something after searching for them in many different places
35,70	turn (sth) to sth	if someone turns to a particular subject, or if they turn their thoughts or attention to it, they begin to think, speak or write about it
35	watch out for sb/sth	to be careful to notice someone or something interesting
35	watch out for sth	to be careful to notice something, especially something that might cause you problems
36	bottle out	informal, British to suddenly decide not to do something because you are afraid
36	call for sth	to need or deserve a particular action or quality
36	come up with sth	to think of or to suggest a plan or idea, a solution to a problem, or an answer to a question
36	dawn on sb	if a fact dawns on you, you realise or understand something after a period of time when you did not realise or understand it
36	jump out at sb	if something jumps out at you, you notice it immediately
36	let-out n	an excuse or way of avoiding doing something you agreed to do
36	lie in sth	to exist or be found in something
36	narrow down sth or narrow sth down	to make something [e.g. list, choice, option] smaller and clearer by removing the things that are less important
36	sort yourself out	informal, British & Australian to spend time dealing with your personal problems or organising your things
36	work through sth or work sth through	to deal with a problem or difficulty by talking about it in detail
37	bargain for/on sth	to expect something to happen and be prepared for it
37	be set against sth/doing sth	to be opposed to doing or having something
37	chicken out	informal to decide not to do something you had planned to do because you are too frightened
37	could do without sth	informal something you say when something is annoying you or causing problems for you, because your situation at that time makes it difficult for you to deal with it
37	have sth on	to have an arrangement to do something
37	opt out	to choose not to be part of an activity or arrangement, or to stop being involved with it
37	plan ahead	to make decisions or plans about something you will do or something that might happen in the future
37	run sth by sb	informal to repeat something, or to tell someone about something, so that they can give their opinion of it or hear it again
37	set against sth/doing sth	to be opposed to doing or having something
37	sleep on sth	if someone sleeps on a decision or problem, they wait until the next day before they decide what to do about it
37	think ahead	to think carefully about what might happen in the future, or to make plans for things you want to do in the future
38	back down	to admit that you are wrong or that you have been defeated, often because you are forced to
38	back out	to decide not to do something that you were going to do or that you had agreed to do
38	back up sb or back sb up	to say that someone is telling the truth
38,52	fall out	to argue with someone and stop being friendly with them
38	get to sb	informal to make someone feel upset or angry
38	hold sth against sb	to like or respect someone less because they have done something wrong or behaved badly
38	put down sb or put sb down	to make someone feel stupid or unimportant by criticising them
38	speak out	to publicly express your opinions, especially in order to criticise or oppose someone or something
38	stay out of sth	to not become involved in a discussion or an argument
38	stick together	informal if two or more people stick together, they support each other, especially when they are in a difficult situation
38	stick up for sb	informal to defend a person when they are being criticised
39	bring sb around/round	to persuade someone to agree with you or to do what you want them to do
39	have sb on	to persuade someone that something is true when it is not, usually as a joke
39	press (sb) for sth	to try to persuade someone, usually someone in authority, to give you something or to allow something to happen
39	rope in sb or rope sb in	informal to persuade someone to help you with something, especially when they do not want to
39	talk sb around/round	to persuade someone to agree with you or to do what you want them to do
39	talk sb into sth/doing sth	to persuade someone to do something
39	talk sb out of sth/doing sth	to persuade someone not to do something
40	be playing at sth	if you ask what someone is playing at, you ask what they are doing, in a way which shows that you are surprised and angry
40	hit back	to criticise or attack someone who has criticised or attacked you
40,69	lay into sb	to attack or criticise someone in an angry way
40	measure up	to be good enough
40	outstanding adj	extremely good, or of a very high standard
40	pick on sb	to choose one person from a group of people to criticise or treat unfairly, especially when they are smaller or weaker than you
40	playing at sth	if you ask what someone is playing at, you ask what they are doing, in a way which shows that you are surprised and angry
40	rub sth in	informal to talk to someone about something which you know they want to forget because they feel bad about it
40	screw up (sth) or screw (sth) up	informal to make a mistake, or to damage or spoil something
40	show off	to try to make people admire your abilities or achievements in a way which other people find annoying
40	take out sth on sb or take sth out on sb	to treat someone badly because you are upset or angry, even though they have done nothing wrong
41	Come on!	something that you say to someone in order to encourage them to do something you want them to do, especially to hurry up, to try harder, or to tell you something
41	Fire away!	informal something that you say in order to tell someone that you are ready for them to start asking you questions, or to start speaking
41	Hang on!	informal something that you say when you are confused or surprised by something and you need to think
41,50	hold on	to wait for a short time
41	Hold on!	something you say to show that you are surprised or confused about something and that you need time to think about it for a short time
41	hurry up	to do something more quickly
41	keep it up	to continue to do something, especially to work hard or to do good work
41	lighten up	to become more relaxed and less serious
41	Lighten up!	informal something you say to tell someone to stop being so serious or annoyed
41	Look out!	something you say or shout in order to tell someone that they are in danger
41	Mind out!	British & American something that you say in order to tell someone to be careful or to warn someone of a danger
41	Spit it out!	informal something you say to encourage someone to tell you something which they do not want to tell you
41	Steady on!	British & Australian something that you say in order to tell someone that you think what they are saying is too extreme
41	Watch out!	something you say to tell someone to be careful so that they can avoid danger or an accident
42	act out sth	to perform the actions and say the words of a situation or story
42	clean off	to remove writing from something by cleaning it with a cloth
42	cross out sth or cross sth out	to draw a line through something that you have written, usually because it is wrong
42	fall behind (sth/sb)	to fail to develop at the same rate as something else, or to fail to achieve a standard reached by other people
42	give out sth or give sth out	to give something to a large number of people
42	hand in sth or hand sth in	to give a piece of written work [e.g. essay] to a teacher
42	hand out sth or hand sth out	to give something to each person in a group of people
42	mess up (sth) or mess (sth) up	to spoil or damage something, or to do something badly
42	miss out sb/sth or miss sb/sth out	British & American to fail to include someone or something
42	put away sth or put sth away	to store things where they are usually stored
42	rub out sth or rub sth out	to remove writing from something by rubbing it with a piece of rubber or with a cloth
42	spread out sth or spread sth out	to open something that is folded [e.g. map, towel] and put it down flat on a surface
42	turn in sth or turn sth in	to give a piece of written work [e.g. essay] to a teacher
42	wipe off	to remove writing from something by wiping it with a cloth
42	work out sth or work sth out	to do a calculation to get an answer to a mathematical question
43	break up	if schools or universities, or the people who study or work in them break up, classes end and the holidays start
43	brush up (on) sth	to practise and improve your skills or your knowledge of something that you learned in the past but have partly forgotten
43	go back	if schools or students go back, the schools are open and the students start going to lessons again after the holidays
43	keep up sth or keep sth up	to practise a skill that you learned in the past so that you continue to be good at it
43	mug up (sth) or mug (sth) up	informal, British to quickly try to learn the main facts about a subject, especially before an exam
43	pick up sth or pick sth up	to learn a new skill or language by practising it rather than being taught it
43	polish up sth or polish sth up	to practise and improve your skills or your knowledge of something that you learned in the past but have partly forgotten
43,64	sign up	to arrange to take part in an activity, or agree to receive something
43	swot up (sth) or swot (sth) up	informal, British & Australian to learn as much as you can about something, especially before an exam
43	throw out sb or throw sb out	to force someone to leave a college, school, house or organisation
44	dip into sth	to read small parts of a book or magazine
44	fill in sth or fill sth in	to write or record the necessary information on an official document [e.g. form, questionnaire]
44	fill out sth or fill sth out	to write or record the necessary information on an official document [e.g. form, questionnaire]
44	jot down sth or jot sth down	to write or record something quickly on a piece of paper or an electronic device so that you remember it
44	read out sth or read sth out	to read something and say the words aloud so that other people can hear
44	read up on sth	to read a lot about a particular subject in order to learn about it
44	scribble down sth or scribble sth down	to write something very quickly on a piece of paper
44	set out sth or set sth out	to give all the details of something, or to explain something clearly, especially in writing
44	tone down sth or tone sth down	to make a piece of writing, a speech, or a performance less offensive or less critical
44,70	touch on sth	to mention a subject briefly when speaking or writing about something
44	write out sth or write sth out	to write information on a document [e.g. cheque, prescription] so that it can be used
45	could do with sth/sb	to need or want something or someone
45	do with	see could do with sth/sb to need or want something or someone
45	fill in sb or fill sb in	to tell someone about the things that have happened while they have not been there, or to give someone the information they need in order to do something
45	fix up sb/sth or fix sb/sth up	to provide or arrange something for someone
45	get ahead	to be successful in the work that you do
45	hand over (sth/sb) or hand (sth/sb) over	to give someone else responsibility for or control of something or someone
45	knock off (sth)	informal to stop working, usually at the end of a day
45	lay off sb or lay sb off	to stop employing someone because there is no work for them to do
45	leave sb to sth	informal to go away from someone so that they do something by themselves or so they can continue what they are doing
45	pencil in sth/sb or pencil sth/sb in	to arrange for something to happen or for someone to do something on a particular date, knowing that the arrangement might be changed later
45	pull together	to work as a group in order to achieve something
45	stand down	British & Australian to leave an important job or official position so that someone else can do it instead
45	step down	to leave your job, especially so that someone else can do it
45	take on sb or take sb on	to begin to employ someone
45	take over (sth) or take (sth) over	to start doing a job or being responsible for something that someone else was doing or was responsible for before you
46	be tied up	informal to be busy so that you are unable to see or speak to anyone else or go anywhere
46	branch out	to start to do something different from what you usually do, especially in your job
46	catch up on/with sth	to do something you did not have time to do earlier
46	chase up sb or chase sb up	to ask someone to do something that they said they would do but that they have not done yet
46	keep (sb) at sth	to continue working hard at something difficult or something which takes a long time, or to make someone continue to work hard
46	move (sth) along	if a process moves along, or if you move a process along, it develops in a satisfactory way
46	slave away	to work very hard with little or no rest
46	snowed under	informal to have so much work that you have problems dealing with it
46	squeeze in sth/sb or squeeze sth/sb in	to manage to do something or see someone when you are very busy and do not have much time available
46	stick at sth	to continue to work hard at something even though it is difficult or tiring
46	tied up	informal to be busy so that you are unable to see or speak to anyone else or go anywhere
46	work on sth	to spend time working in order to produce or repair something
46	work towards sth	to try hard to achieve something
46	wriggle out of sth	informal to avoid doing something that other people think you should do, often in a dishonest way
47	cut back (sth) or cut (sth) back	to reduce the amount of money that is being spent on something
47	get sth back or get back sth	if you get something back, something that you had before is given to you again
47	give away sth or give sth away	to give something to someone without asking for payment
47	knockdown adj	very low [in price]
47	pay back sb/sth or pay sb/sth back	to pay someone the money that you owe them
47	pay off sth or pay sth off	if you pay off a debt [e.g. loan, mortgage, overdraft], you pay back all the money you owe
47	pay up	informal to give someone the money that you owe them, especially when you do not want to
47,48	run up sth or run sth up	if you run up a debt [e.g. bill, deficit], you do things which cause you to owe a large amount of money
47	save up (sth) or save (sth) up	to keep money so that you can buy something with it in the future
47	settle up	to pay someone the money that you owe them
47	write off sth or write sth off	to accept that an amount of money [e.g. debt, investment] has been lost or will never be paid
48	beat down sb/sth or beat sb/sth down	to force someone to reduce the price of something
48	club together	if a group of people club together, they share the cost of something between them
48	fork out sth or fork sth out	informal to pay or give money for something, especially when you do not want to
48	knock off sth or knock sth off	to take a particular amount away from something, especially a price
48	pick-up n	an increase or improvement
48	pickup n	small truck with an open back
48	sell-off n	a sale of all or part of a business
48	sell out	if a shop sells out, it has no more of a particular product available to buy
48	sell-out n	when all the tickets for an event have been sold
48	shop around	to compare the price and quality of the same item or service from different shops or companies before deciding which one to buy
48	skimp on sth	to not spend enough time or money on something, or not use enough of something
48	snap up sth or snap sth up	to buy or get something quickly because it is very cheap or because it is exactly what you want
48	splash out	informal to spend a lot of money on something which is very pleasant but which you do not need
48	stock up	to buy a lot of something, often food or drink
49	go under	if a company or business goes under, it fails financially
49	hire out sth or hire sth out	British & Australian to allow someone to use something for a short period of time after they have paid you money
49	outlet n	a shop that is one of many owned by a particular company and that sells the company’s goods
49	pour sth into sth	to provide a lot of money for something over a long period
49	put sth at sth	to roughly calculate that something will cost a particular amount or that something is a particular size or amount
49	run to sth	to reach a particular amount, usually a large amount
49	spin-off n	a product that develops from another more important product
49	start up (sth) or start (sth) up	if a business or other organisation starts up, or if someone starts one up, it is created and starts to operate
49	takeover n	an act of gaining control of a company
49	upkeep n	the cost or process of keeping something, such as a building, in good condition
49	wind down (sth) or wind (sth) down	if a business or organisation winds down, or if someone winds it down, the amount of work it does is gradually reduced until it closes completely
50	call around/round (sb)	to call several people, often in order to find out information
50	call up (sb) or call (sb) up	to call someone
50	cut off sb or cut sb off	to stop people from continuing a phone or Internet conversation by breaking the connection
50	get back to sb	if you get back to someone, you communicate with them, usually to give them information that you were not able to give them before
50	get through	to manage to talk to someone on the phone or Internet
50	hang up	to end a telephone conversation, often suddenly, by putting the part of the phone down
50	listen in	to secretly listen to a conversation, especially a phone or Internet conversation
50	phone around/round (sb)	to call several people, often in order to find out information
50	phone up (sb) or phone (sb) up	to call someone
50	put on sb or put sb on (sth)	to give someone the phone so that they can speak to the person who is on it
50	put sb on speakerphone	to turn on a loudspeaker on the phone so that everyone can hear the caller
50	put through sb or put sb through	to connect a phone or Internet caller to the person they want to speak to
50	ring in	British & Australian to phone someone at your place of work, usually to explain why you are not there
50	ring off	British & Australian to end a phone call
50,64	switch off (sth) or switch (sth) off	to turn off an electrical device [e.g. light, radio] or an engine by using a switch
50,64	switch on (sth) or switch (sth) on	to turn on an electrical device [e.g. light, radio] or an engine by using a switch
51	be hung up	informal to be very worried about something and spend a lot of time thinking about it
51	bottle up sth or bottle sth up	informal to not allow yourself to show or talk about your feelings, especially feelings of anger and sadness
51	brighten up	to suddenly look or feel happier
51	calm down (sb) or calm (sb) down	to stop feeling upset, angry, or excited, or to make someone stop feeling this way
51	carried away	to become so excited about something that you do not control what you say or do and you forget about everything else
51	cheer up (sb) or cheer (sb) up	if someone cheers up, or if someone or something cheers them up, they start to feel happier
51,61	cool down/off (sb/sth) or cool (sb/sth) down/off	to become calmer, or to make someone or something become calmer
51	feel for sb	to feel sorry for someone because they are very unhappy or in a difficult situation
51	get carried away	to become so excited about something that you do not control what you say or do and you forget about everything else
51	grow on sb	informal if something or someone grows on you, you like them more and more, although you did not like them at first
51	hang-up n	informal a feeling of embarrassment or fear about something, often when it is not necessary to feel that way
51	hung up	informal to be very worried about something and spend a lot of time thinking about it
51	jump at sth	to eagerly accept a chance to do or have something
51	pull yourself together	to become calm after being so angry or upset that you were unable to behave in a sensible way
51	take to sb/sth	to start to like someone or something
51	tear sb apart	to make someone feel very unhappy
51	warm to sth	to become more enthusiastic about an idea
52	chat up sb or chat sb up	informal, British & Australian to talk to someone in a way that shows them that you are sexually attracted to them and to try to make them attracted to you
52	chat-up n	informal a way of talking which suggests you are sexually attracted to someone and want them to be attracted to you
52	fall for sb/sth	informal to be attracted to someone or something
52	falling-out n	informal an argument
52	fit in	to feel happy in a group of people because you are similar to them
52	get along	if two or more people get along, they like each other and are friendly to each other
52	go for sth/sb	to like a particular type of thing or person
52	go out with sb	to have a romantic relationship with someone
52	hit it off	if two or more people hit it off, they like each other and become friendly immediately
52	pair off	if two people pair off, they start a romantic relationship
52	turn on sb or turn sb on	to make someone interested in something
53	break off with sb	to end a romantic relationship with someone
53	break-up n	the act or event of breaking up
53	drift apart	if two friends drift apart, they gradually become less friendly and their relationship ends
53	finish with sb	informal, British & Australian to end a romantic relationship with someone
53	grow apart	if people who are good friends grow apart, they gradually become less friendly, often because they do not have the same interests and opinions any more
53	let down sb or let sb down	to disappoint someone by failing to do what you agreed to do or what you were expected to do
53	live down sth or live sth down	to stop feeling embarrassed about something you have done by waiting until people forget about it
53	make up	to forgive someone who you have argued with and to become friendly with them again
53	miss out	to not do or get something that you would enjoy or that would be good for you, or to not have something that other people have
53	run off with sb	to secretly leave a place with someone in order to live with them or marry them, especially when other people think this is wrong
53	settle down	to start living in a place where you intend to stay for a long time, usually with the same partner, especially after a period in which you have travelled a lot or changed partners
53	settle for sth	to accept something, often something that is not exactly what you want, or is not the best
53	split up	if two people who are married or who have a romantic relationship split up, they end their marriage or relationship
54	go back on sth	to not do something that you promised or said you would
54	have it out with sb	informal to talk to someone about something that they have said or done that has made you angry in order to improve the situation
54	keep on at sb	to talk to someone about something many times, usually because you want to complain about something they have done or not done
54	keep sth from sb	to not tell someone about something
54	let on	to tell someone about something which was supposed to be a secret
54	mouth off	informal to talk about a subject as if you know more than everyone else, or to complain a lot about something
54	open up	to start to talk more about yourself and your feelings
54	outpouring n	a strong expression of emotion
54	own up	to admit that you have done something wrong, especially something that is not important
54	play down sth or play sth down	to try to make people believe that something is not very important, or that it is unlikely to happen
54	pour out sth or pour sth out	if you pour out your feelings or thoughts, you talk very honestly about what is making you sad
54	shut (sb) up	to stop talking or making a noise, or to make someone do this
54	talk down to sb	to talk to someone as if they were less clever than you
54	wind up sb or wind sb up	informal, British to tell someone something that is not true in order to make a joke
55	become of sb/sth	if you ask what became of someone or something, you want to know where they are and what happened to them
55	bring up sb or bring sb up	to look after a child and educate them until they are old enough to look after themselves
55	carry on	to continue doing something
55	end up	to finally be in a particular place, state, or situation, especially without having planned it
55	end up doing sth	to finally do something, especially without having planned to
55	grow up	to gradually change from being a child to being an adult
55	hand down sth or hand sth down	to give or teach something to someone who will be alive after you have died
55	live up to sth	if someone or something lives up to people’s expectations or a particular standard, they are as good as they were expected to be
55	name sb/sth after sb/sth	to give someone or something the same name as someone or something else
55	pass for sb/sth	if someone or something passes for someone or something else, they appear like that person or thing
55	take after sb	to have a similar appearance or character as an older member of your family
55	turn to sth	to start to do or take something bad [e.g. crime, drugs, drink], usually because you are unhappy
55	wind up	to finally be in a particular place, state, or situation, especially without having planned it
55	wind up doing sth	to finally do something, especially without having planned to
56	care for sb	to look after someone who is too young, too old, or too ill to look after themselves
56	come down with sth	to become ill, usually with a disease that is not very serious
56	fight off sth or fight sth off	to try hard to get rid of something unpleasant or unwanted, especially an illness or bad emotions
56	go down with sth	informal, British to become ill, usually with a disease that is not very serious
56	pass away	to die
56	pass on	to die
56	pass out	to become unconscious
56	pull (sb) through	to recover from a serious illness, or to help someone to do this
56	shake off sth or shake sth off	to get rid of an illness or something that is causing you problems
56	slow down	to become less physically active than you were before
56	swell up	if a part of your body swells up, it becomes larger and rounder than usual, often because of an illness or injury
56	throw up (sth) or throw (sth) up	to vomit
57	burn off sth or burn sth off	to use or get rid of energy or something which provides energy [e.g. calories, fat], by doing a lot of physical exercise
57,61	cool down (sb/sth) or cool (sb/sth) down	to become cooler, or to make someone or something become cooler
57	join in (sth)	to become involved in an activity with other people
57	kick-off n	the time when a football match begins
57	knock out	to defeat a person or team in a competition so that they have to stop taking part in it
57	knockout n	a competition in which only the winners of each stage play in the next stage, until one person or team is the final winner
57	play-off n	a game between two teams that have equal points in order to decide which is the winner
57	pull ahead	to suddenly get in front of another car or person that was previously driving or running at the same speed as you
57	send off sb or send sb off	British & Australian to order a sports player to leave the playing area during a game because they have done something wrong
57	work out	to exercise in order to improve the strength or appearance of your body
58	get (sb) up	to wake up and get out of bed, or to make someone do this
58	lie in	British & Australian to stay in bed in the morning later than you usually do
58	lie-in n	British & Australian when you stay in bed in the morning longer than usual
58	live off sth/sb	to have enough money for the things you need by taking it from a supply of money or from another person
58	live on sth	to have a particular amount of money in order to buy the things you need
58	move in	to begin living in a new house or area
58	move in together	to start living in the same house as someone you are having a romantic relationship with
58	move out	to stop living in a particular house
58	oversleep	to sleep longer than you had intended
58	put up sb or put sb up	to let someone stay in your home for a short period
58	sleep in	to sleep longer in the morning than you normally do
58	sleep over	informal to sleep in someone else’s home for a night
58	sleepover n	a party at which several young people sleep at a friend’s house for a night
58	stay up	to go to bed later than usual
58	wait up	to stay awake because you are expecting someone to arrive
59	ask after sb/sth	to ask for information about someone, especially about their health
59	ask sb over/round	to invite someone to come to your house
59	bring along sb/sth or bring sb/sth along	to bring someone or something somewhere
59	bring around/round sb/sth or bring sb/sth around/round	to bring someone or something somewhere, especially to someone’s house
59	call round	British & American to visit someone who lives near to you for a short time
59	come over	to visit someone at their house
59	drop around/round	informal to make a short visit to someone in their home, usually without arranging it before
59	drop around/round sth or drop sth around/round	informal to deliver something, usually something small
59	drop in	to make a short visit to someone in their home, usually without arranging it before
59	have sb around/round	if you have someone around, they come to your house for a social visit
59	have sb over	if you have someone over, they come to your house to visit you
59	pop in/into	informal to go into a place, especially a friend’s house, just for a short time
59	run across sb	to meet someone you know when you are not expecting to meet them
59	stand up sb or stand sb up	to fail to meet someone on purpose, especially someone with whom you were starting to have a romantic relationship
59	tag along	to go somewhere with a person, especially when they have not asked you to go with them
60	hand round sth or hand sth round	to offer something, especially food or drink, to each person in a group of people
60	heat up sth or heat sth up	to make food hot so that it can be eaten
60	live off sth	to only eat a particular type of food
60	measure out sth or measure sth out	to take a small amount of something from a larger amount, first weighing or measuring it in order to make sure that it is the right amount
60	pass round sth or pass sth round	to offer something to each person in a group of people
60	takeaway n	a meal that you can buy and take somewhere else to eat, or a shop where you can buy this food
60	thaw out (sth) or thaw (sth) out	if frozen food thaws out, or if you thaw it out, it is taken out of a freezer so that it gradually becomes warmer and is not frozen any more
60	top up sb or top sb up	to put more drink into someone's glass or cup
60	top-up n	more drink poured into a glass or cup
61	be rained off	if a sport or other outside activity is rained off, it cannot start or continue because it is raining
61	be snowed in	if a person or place is snowed in, there is so much snow that it is impossible to travel anywhere or leave that place
61	clear up	if the weather clears up, it improves
61	cloud over	if the sky clouds over, it becomes covered with clouds
61	downpour n	a sudden, heavy fall of rain
61	flood out sb or flood sb out	to force someone to leave their home because of floods
61	pour down	to rain heavily
61	rained off	if a sport or other outside activity is rained off, it cannot start or continue because it is raining
61	snowed in	if a person or place is snowed in, there is so much snow that it is impossible to travel anywhere or leave that place
61	warm up (sth/sb) or warm (sth/sb) up	to become warmer, or to make something or someone warmer
62	carry-on n	a small case or bag that you take on a plane with you
62	check in	to show your ticket at an airport so that you can be told where you are sitting and so that your bags can be put on the aircraft
62	check in or check into sth	to arrive at a hotel and say who you are so that you can be given a key for your room
62	check out	to leave a hotel after paying and giving back the key of your room
62	getaway adj	used to escape something or someone
62	get in	if a train, plane, or other vehicle gets in at a particular time, that is when it arrives
62	get off (sth)	to leave a bus, train, aircraft, or boat
62	pull in	if a train pulls in or pulls into a station, it arrives there
62	pull out	if a train pulls out, it starts to leave a station
62	set off	to start a journey
62	stop off	to visit a place for a short time when you are going somewhere else
62	stop over	to stop somewhere for a period of time when you are on a long journey
62	stopover n	a short stay in a place that you make while you are on a longer journey somewhere else
62	take-off n	when an aircraft leaves the ground and begins to fly
62	touch down	when an aircraft touches down, it lands on the ground
62	touchdown n	when an aircraft lands
63	draw up	if a vehicle, or someone in a vehicle, draws up, they arrive somewhere and stop
63	get out	to move out of a vehicle
63	knock down sb or knock sb down	to hit someone with a vehicle and injure or kill them
63	pull in or pull into swh	if a car pulls in or pulls into a place, it moves to the side of the road or to another place where it can stop
63	pull up	if a car pulls up, it stops, often for a short time
63	pump up sth or pump sth up	to fill something with air by using a pump
63	run over sb/sth or run sb/sth over	to hit someone or something with a vehicle and drive over them, injuring or killing them
63	tailback n	a long line of traffic that is moving very slowly
63	turn off (sth)	to leave the road you are travelling on and travel along another one
63	turn-off n	a place where you can leave a main road and go onto another road
63	write-off n	a vehicle that is too badly damaged to be repaired
64	get cut off	during a phone call lose the connection
64	get locked out	(of an account) be unable to enter it
64	move on	continue to the next point
64	plug in sth or plug sth in or plug sth into sth	to connect a piece of electrical equipment to a supply of electricity or to another piece of electrical equipment
64	scroll across/down/up (sth)	to move text or other information across/down/up a computer screen in order to view a different part of it
64	sign in	to connect a computer to a series of computers, usually so that you can start working
64	turn up sth or turn sth up	to increase the amount of something, especially sound or heat, that is produced by a machine [e.g. television, oven]
64	zoom in	if a camera zooms in, it starts to show a clear and detailed picture of something, as if the camera was moving closer to that thing
64	zoom out	if a camera zooms out, it starts to show someone or something in less detail, as if the camera was moving away from that person or thing
65	back up (sth) or back (sth) up	to make a copy of computer information so that you do not lose it
65	back-up n	an extra copy of computer information
65	click on sth	to carry out a computer operation by pressing a button on the mouse or keyboard
65	filter out	to pass information through a device to remove unwanted information
65	free up	to make something available to be used
65	key in sth or key sth in	to put information into a computer using a keyboard
65	log in	to connect a computer to a system of computers by typing your name, usually so that you can start working
65	log off (sth)	to stop a computer being connected to a computer system, usually when you want to stop working
65	log on	to connect a computer to a system of computers by typing your name, usually so that you can start working
65	log out	to stop a computer being connected to a computer system, usually when you want to stop working
65	print out (sth) or print (sth) out	to produce a printed copy of a document that has been written on a computer
65	printout n	information or a document that is printed from a computer
65	type in sth or type sth in	to put information into a computer using a keyboard
66	break out	if something dangerous and unpleasant [e.g. war, disease, fire] breaks out, it suddenly starts
66	outbreak n	when something unpleasant or difficult to control starts, such as war or disease
66,67	breakout n	an escape
66	break through sth	to succeed in dealing with a problem or difficult situation
66	bring down sb or bring sb down	to cause people in positions of power [e.g. government, president] to lose their position
66	crackdown n	when bad or illegal behaviour is dealt with in a very severe way, in order to stop it happening
66	hide away	to go to a place where other people will not find you
66	hideaway n	a place where someone goes to be alone
66	pull out (sb/sth) or pull (sb/sth) out	to stop being involved in an activity or agreement
66	step up sth or step sth up	to do more of an activity or to increase the speed of a process, usually in order to improve a situation
67	be mixed up in sth	informal to be involved in an illegal or unpleasant activity
67	beat up sb or beat sb up	to hurt someone badly by hitting or kicking them again and again
67	break into sth	to get into a building or car by using force, usually in order to steal something
67	get mixed up in sth	to become involved in an illegal or bad activity
67	lean on sb	informal to try to make someone do what you want by threatening or persuading them
67	mixed up in sth	informal to be involved in an illegal or unpleasant activity
67	put sb up to sth	to encourage someone to do something stupid or wrong
67	tip off sb or tip sb off	to warn someone secretly about something that will happen so that they can take action or prevent it from happening
67	tip-off n	a secret warning or piece of secret information
67	walk off with sth	informal to steal something, or to take something without the owner’s permission
68	break away	to stop being part of a group because you disagree with them or because you do not want to be controlled by them
68	clamp down	if someone in authority clamps down, they do something in order to stop or limit a particular activity
68	clampdown n	a sudden action taken by a government or people in authority to stop or limit a particular activity
68	go ahead	to start to do something
68	go-ahead n	permission for something to start
68	stand by sb	to continue to support or help someone when they are in a difficult situation
68	stand up for sth/sb	to defend something that you believe is important [e.g. principle, right], or to defend a person who is being criticised
68	stand up to sb	if you stand up to a powerful person or organisation, you state your opinions forcefully and refuse to agree with them or do what they want
68	stick by sb	to continue to support someone when they are having problems
69	barrack for sb	informal, American & Australian to shout encouragement to the players in a football team
69	bawl out sb or bawl sb out	informal, American & Australian to tell someone angrily that something they have done is wrong
69	belt into sth	Australian to begin to do something quickly and with a lot of effort
69	figure out sth or figure sth out	American to understand something or someone, or to find the answer to something by thinking carefully
69	get into sb	informal, Australian to criticise someone
69	goof around/off	informal, American to avoid doing any work
69	Listen up!	informal, American something you say to tell people to listen to what you are going to say
69	meet with sb	American to have a meeting with someone in order to discuss or arrange something
69	shoot through	informal, Australian to leave a place suddenly and often secretly, especially to avoid something
69	suss out sb/sth or suss sb/sth out	informal, British & Australian to discover what someone or something is really like, or to find out how a machine or piece of equipment works
69	tell off sb or tell sb off	to speak angrily to someone because they have done something wrong
69	visit with sb	American to spend time talking with someone that you know
69	Wait up!	American something you say to tell someone to stop so that you can talk to them or go somewhere with them
69	wash up	American to clean your hands and face with soap and water
69	wash up (sth) or wash (sth) up	British & Australian to clean the plates, pans and other things you have used for cooking and eating a meal
70	arrive at	reach a result
70	base on	use ideas or information as a starting point for something else
70	bring together	collect
70	draw together	collect
70	follow up on sth	give more information about something mentioned before
70	pick up on	connect or give more attention to
70	relate	to connect to
