unit	collocation
1, 6, 21	bitterly disappointed
6	bitterly disappointing
6	bitterly regret
6	bitterly resent
6, 49	complain bitterly
6	cry bitterly
6	weep bitterly
43	blacken someone’s name
54	mind goes blank
13	blanket of fog
13	blanket of mist
41	music blares (out)
41	radio blares (out)
24	music blasts out from
12	blaze of glory
12	blaze of publicity
15	bleak landscape
60	give your blessing
8	go blind
4	blissfully unaware
15	block the view
19	blood relative
54	blot out a memory
25	blow the whistle
13	wind blows
13	blow down fences
43	pale blue
44	blunt knife
44	blunt pencil
14	board a plane
14	boat trip
29	body language
45	body odour
23	book comes out
23	book deals with
23	book review
23	book reviewer
23	end of a book
23	engrossed in a book
42	fat book
23	flick through a book
23	recommend a book
23	review a book
23	skim through a book
42	slim book
14	fully booked
4	economy booms
5	bored stiff
8	get bored
25	go bowling
25	play bowls
23	box-office hit
44	bread goes hard
13	break in the clouds
9	have a break
48	break a habit
34	break the law
41	break the silence
25	break the world record
36	news breaks
36	story breaks
36	talks break down
35	break into a house
38	war breaks out
22	hearty breakfast
47	leisurely breakfast
47	at breakneck speed
52	make a breakthrough
26	develop breast cancer
26	be diagnosed with breast cancer
29	breathe deeply
15	breathtaking scenery
1, 39	breed crime
4, 49	brief chat
33	briefly summarise
4, 43	bright colour
43	bright yellow
30	brilliant career
52	brilliant success
51	bring something to an end
53	bring about the collapse
53	bring about the downfall
38	bring about peace
53	bring about a revolution
53	bring about a transformation
25	bring on a substitute
19	bring up children
19	bring up a family
47	brisk business
47	brisk efficiency
47	brisk pace
47, 50	brisk walk
50	walk briskly
18	broad hips
18	broad shoulders
32	broadly support
14	travel brochure
19	broken home
42	little brother
17	brutally honest
31	balance the budget
13	destroy buildings
21	dilapidated building
16	imposing building
10	old building
16	quaint old building
16	run-down building
42	tall building
29	bullet points
16	bumper-to-bumper traffic
14, 44	bumpy flight
44	bumpy road
35	spate of burglaries
12	cheeks burn with embarrassment
57	burning desire
4	burst into tears
9	take a bus
18	bushy eyebrows
31	business is booming
14	business travel
14	business trip
31	go into business
31, 52	go out of business
31	run a business
31	set up a business
5	start up a business
31	business would fold
31	businesses are going under
22	first-time buyer
16	pavement café
38	call a ceasefire
38	call a truce
2	give someone a call
7	make a phone call
30	field telephone calls
23	cameo role
36	launch a campaign
14	camping trip
26	develop cancer
26	develop lung cancer
26	be diagnosed with cancer
26	be diagnosed with lung cancer
43	candle flickers
5	raise capital
36	take captive
1	fast car
10	start a car
35	steal a car
25	play cards
6	care deeply
2	take care of
30	at the height of your career
30	at the peak of your career
30	career fair
30	career lasts
30	career spans
30	career takes off
30	climb the career ladder
30	embark on a career
30	glittering career
30	have a career in
30	promising career
30	ruin someone’s career
30	wreck someone’s career
4	tread carefully
11	carry a mobile phone
11	carry a suitcase
34	carry out an investigation
28	carry out a research project
32	carry out a study
30	carry out work
33	make a case for
33	present a case for
34	win a case
56	cast doubt on
23	cast a film
43	cast a shadow over
4	ginger cat
26	catch a chill
26	catch a cold
36	catch fire
26	catch (the) flu
15	catch a glimpse of
26	catch pneumonia
15	catch sight of
24	catchy tune
33	fall into a category
59	cater for someone’s tastes
10	raise cattle
53	cause chaos
53	cause concern
1	cause crime
13	cause damage
53	cause a lot of damage
53	cause embarrassment
53	cause havoc
3	cause pain
53	cause a sensation
53	cause an uproar
53	immediate cause
53	underlying cause
50	pick your way cautiously
31	cease trading
20	cement a friendship
23	central character
32	play a central role
40	early 21st century
49	challenge someone directly
32	challenge a theory
57	be given the chance
9	take a chance
48	change your clothes
48	change doctors
48	change jobs
48	change your mind
37	change money
48	change places
48	change seats
48	change schools
48, 49	change the subject
39	climate change
53	effect a change
42	major change
7	make a change
7	make changes
42	minor change
47	rapid change
23	closing chapters
23	opening chapters
17	reveal your true character
17	strength of character
10	charge a phone
30	take charge of
58	deny charges
29	bar chart
29	pie chart
14	charter flight
2, 9	have a chat
37	go cheap
6	ridiculously cheap
18	chubby cheeks
45	foul-smelling chemicals
25	play chess
39	child labour
8	have a child
10	only child
19	have children
10, 19	raise children
39	street children
21	chilly corridor
57	face a difficult choice
57	have a choice
7, 57	make a choice
57	tough choice
2	wise choice
44	coarsely chopped
44	finely chopped
44	choppy sea
44	choppy water
48	convert to Christianity
23	see a film at the cinema
25	do circuit training
16	city skyline
16	inner city
16	sprawling city
58	claims are unfounded
58	deny a claim
58	reject a claim
58	substantiate a claim
32	support a claim
43	colours clash
55	head-on clash
28	class is held
54	clean forget
32	clear illustration
59	clear preference
49	make it clear
58	clearly imply
58	state clearly
41	clicking sound
25	go climbing
10	close a conference
10	close a discussion
10	close a meeting
10	close your mouth
51	draw to a close
19	close family
20	close friend
51	close finish
42	at close range
19	close relative
30	close team
36	close watch
19	close-knit family
30	work closely with
23	closing scenes
11	take clothes with you
27	cloud storage
13	thick cloud
16	fashionable club
54	give someone a clue
44	coarse grain
18	coarse hair
44	coarse joke
16	cobbled street
13	freezing cold
1, 26	heavy cold
26	slight cold
43	colour fades
43	colour goes well with
43	colour runs
43	subdued colour
43	touch of colour
56	colour someone’s judgement
35	combat crime
39	combat poverty
15	come into view
55	come to a compromise
57	come to a decision
51	come to an end
47	come to a standstill
17	come to terms with
46	come to a total of
54	memories come flooding back
13	fog comes down
13	mist comes down
52	come in useful
36	news comes in
60	come in for criticism
23	film comes out
25	come up against fierce competition
25	come up against intense competition
16	comfortable suburbs
7	make a comment
7	make comments
35	commit an offence
32	commit plagiarism
6	deeply committed
35	common criminal
42	within commuting distance
5	major companies
4	company expands
4	company grows
4	company merges
17	good company
33	make a comparison
25	enter a competition
25	go in for a competition
25	round of a competition
25	stage of a competition
31	stiff competition
6	extremely competitive
6	highly competitive
3	complain of pain
46	continual complaining
28	complete a course
30	complete work
54	completely forget
21	completely refurbished
18	lovely complexion
44	rough complexion
44	smooth complexion
9	pay a compliment
34	comply with the regulations
24	compose a piece
55	reach a compromise
23	compulsive reading
27	computer crashes
47	fast computer
27	hack into someone’s computer
25	play computer games
6	deeply concerned
32	concise summary
56	lead someone to conclude
33	draw a conclusion
47	hasty conclusion
47	speedy conclusion
60	severely condemn
6	strongly condemn
60	universal condemnation
60	wholesale condemnation
21	widespread condemnation
13	freak weather conditions
24	conduct an orchestra
28	conduct a research project
17	supremely confident
50	stride confidently
55	conflict of opinion
60	warmly congratulate
60	offer your congratulations
14	connecting flight
32	establish a connection
34, 53	suffer the consequences
57	consider the options
42	considerable distance from
46	considerable number
33	take into consideration
56	considered opinion
60	constant criticism
46	constant interruptions
3	constant pain
46	remain constant
20	keep in contact
20	lose contact
31	win a contract
26	contract a disease
26	contract malaria
26	contract typhoid
58	contradictory evidence
58	run contrary to
2	sharp contrast
52	make a contribution
7, 32	make a contribution to
32	significant contribution
52	useful contribution
11	gain control
36	seize control
36	controversial decision
6	extremely controversial
6	highly controversial
55	controversy rages
55	controversy exists
12	conversation flows
49	get into a conversation
9	have a conversation
12	heated conversation
49	join in a conversation
49	make polite conversation
47	steer the conversation
49	strike up a conversation
35	convicted criminal
35	conviction for robbery
6	utterly convinced
22	Chinese/Mexican/French cooking
7	do the cooking
27	copy and paste
29	core message
15	turn a corner
21	cosy study
60	counter criticism
39	developing country
42	neighbouring country
15	destroy the countryside
15	peaceful countryside
15	surrounding countryside
15	tranquil countryside
15	unspoilt countryside
21	happy couple
2, 28	do a course
2, 28	enrol on a course
28	leave a course
28	take a course
28	withdraw from a course
19	distant cousin
19	second cousin
42	cover a distance of x kilometres
49	crack a joke
5	crack down
41	crackling sound
21	cramped room
41	waves crash
47	slow to a crawl
8	go crazy
44	creamy texture
4	create opportunities
53	create problems
60	give credit
60	take full credit for
25	play cricket
35	crime figures
35	crime rate
35	crime wave
38	fight crime
35	fight against crime
35	juvenile crime
35	petty crime
35	street crime
35	tackle crime
35	target serious crime
35	vehicle crime
38	war on crime
35	criminal record
35	hardened criminal
13	crisp snow
23	film critic
60	harsh critic
60	outspoken critic
60	highly critical
60	sharply critical
60	fiercely criticise
60	roundly criticise
60	dismiss criticism
60	harsh criticism
60	respond to criticism
39	crop fails
10	grow crops
44	crushed garlic
41	cry of pain
41	cry of surprise
41	give a cry
41	give a loud cry
41	piercing cry
22	Chinese/Mexican/French cuisine
22	international cuisine
46	unit of currency
19	give custody
19	grant custody
31	cut-throat competition
25	go cycling
5	cyclists dismount
7	do damage
39	irreparable damage
46	widespread damage
10	damaged sofa
26	damaged wings
45	smell danger
12	dark days
43	dark green
18	dark hair
12	dark thoughts
12	dark times
8	go dark
43	grow dark
43	pitch dark
12	expression darkens
12	eyes darken
12	face darkens
25	play darts
52	dash someone’s hopes
40	from dawn till dusk
14	day trip
11	spend a day
12	sunny day
60	dazzling production
40	dead on time
30	dead-end job
8	go deaf
41	deafening noise
41	deafening sound
31	do a deal
37	get a really good deal
42	great deal of
42	great deal of energy
42	great deal of enthusiasm
42	great deal of money
31	strike a deal
23	film deals with
42	dear little
39	death toll
34	face the death penalty
12	heated debate
39	debt repayment
22	decent meal
57	defend your decision
47	hasty decision
1, 2, 4, 7, 57	make a decision
57	put off making a decision
47	quick decision
57	sensible decision
17	snap decisions
57	take a decision
57	unanimous decision
57	wise decision
38	declare war
46	decline in the number of
47	rapid decline
59	dedicated fan
59	deep hatred
59	deep-rooted hatred
53	deeply affect someone
6	deeply care
6	deeply hurt
6	deeply moved
6	deeply regret
6	deeply religious
6	deeply shocked
6	deeply unhappy
11	defeat an opponent
11	defeat a team
25	narrowly defeated
32	strenuously defend
57	degree of uncertainty
28	do a degree
28	get a degree
28	obtain a degree
2, 28	study for a degree
28	take a degree
49	delicate subject
30	demanding job
2	make demands on
53	spark off demonstrations
13	dense fog
15	dense forest
58	deny a rumour
6, 58	strongly deny
39	deplete the ozone layer
21	deeply depressed
8	get depressed
19	deprived home
39	deprived region
25	deserve to win
60	justly deserve
60	richly deserved
39	desperate need
2	desperately jealous
10	desperately lonely
20	desperately in love
21	desperately sad
25	desperately want
2	desperately worried
32	go into great detail
13	weather deteriorates
47	make a detour
47	take a detour
6	utterly devastated
39	devastating famine
39	devastating flood
26	develop diabetes
20	develop a friendship
45	develop a taste for
36	news develops
26	be diagnosed with leukaemia
13	wind dies down
56	difference of opinion
42	major difference
42	minor difference
2	sharp difference
55	differences exist
55	settle your differences
50	different walk of life
9	have difficulty
42	major difficulty
42	minor difficulty
28	do a diploma
28	get a diploma
28	obtain a diploma
28	study for a diploma
28	take a diploma
53	direct result
55	disagree fundamentally
33	disagree profoundly
55	tend to disagree
55	fundamental disagreement
21	express your disappointment
21	huge disappointment
60	express your disapproval
60	frown of disapproval
60	look of disapproval
60	show your disapproval
60	strongly disapprove of
60	thoroughly disapprove of
52	be a recipe for disaster
39	natural disaster
