unit	collocation
44	ice melts
58	reject an idea
24	pop idol
49	plead ignorance
26	be taken ill
26	terminally ill
26	incurable illness
26	life-threatening illness
26	serious illness
53	increase the impact
53	major impact
29	make an impact
53	minimise the impact
53	reduce the impact
53	strengthen the impact
6	utterly impossible
2	make a good impression
48	improvement in performance
7	make an improvement
7	make improvements
13	weather improves
14	in-flight magazine
16	incessant roar
38	minor incident
37	steady income
46	increase steadily
37	price increases
46	increase in the number of
42	large increase
47	rapid increase
2	sharp increase
42	small increase
35	staggering increase
53	indirect result
16	industrial zone
53	inevitable outcome
53	inevitable result
3	inflict pain
36	keep someone informed
10, 26	injured people
26	major injuries
26	minor injuries
26	serious injuries
26	suffer injuries
26	sustain injuries
35	rob an institution
24	tune an instrument
26	intensely painful
9	take an interest in
46	widespread interest
36	interested party
46	keep interrupting
34	introduce a law
54	trust your intuition
58	refuse an invitation
21	invite someone to a party
32	irrefutable proof
4	key issue
42	major issue
42	minor issue
33	touch on issues
36	item of news
5	unwanted items
43	trousers match a jacket
31	create jobs
30	job satisfaction
30	lucrative job
30	offer someone a job
30	permanent job
30	rewarding job
30	steady job
36	top job
17	play a joke on
17	take a joke
49	tell a joke
14	outward journey
14	overnight journey
14	return journey
14	safe journey
14	tiring journey
57	reserve judgement
57	sound judgement
56	trust someone’s judgement
20	keep in touch
28	keep a notebook
38	keep the peace
30	keep a record
1	keep to the rules
17	keep secrets
17	keep your temper
36	keep a watch on
17	keep your word
29	key points
40	kill time
44	sharp knife
49	speak a language
18	lanky youth
11	use a laptop
42	large number
42	large quantity
2	large scale map
10	large size
42	on a large scale
6	ridiculously large
60	last night’s performance
9	pay your last respects
38	lasting peace
19	late wife
36	the latest news
41	shrill laugh
41	raucous laughter
4	roar with laughter
31, 36	launch a product
34	law prohibits
34	obey the law
34	observe the law
34	pass a law
34	respect the law
34	uphold the law
2	lead a life
23	male lead
25	take the lead
36	news leaks out
1	leave university
45	leave an unpleasant taste in your mouth
50	leisurely stroll
33	lend support to
46	unit of length
3	lessen pain
42	low level
39	rising sea levels
15	lie in ruins
49	tell a lie
29	bring to life
50	different walks of life
36	loss of life
20	love of your life
57	opportunity of a lifetime
39	lift someone out of poverty
13	mist lifts
43	pinpoint of light
54	sensitive to light
43	shed some light on
43	throw some light on
22	light meal
50	light steps
13	light wind
12	mood lightens
36	lightning strikes
59	particular liking
9	take a liking to
39	below the poverty line
16	lined with shops
27	click a link
30	make a list
29	listen carefully
16	strewn with litter
42	little problem
42	little things
42	nice little
42	poor little
39	live on the streets
1, 24	live music
24	live performance
48	standard of living rises
21	spacious living room
10	load a lorry
10	lonely place
10	lonely spot
6	ridiculously long
54	long-term memory
42	look small
13	looks like rain
47	quick look
2	take a look
25	lose a match
52	lose your nerve
17	lose your patience
17, 21	lose your temper
20	lose touch
31	make a loss
5	job losses
20	love someone unconditionally
20	madly in love
59	passionate love
20	return someone’s love
24	music lover
37, 42	low price
42	low wage
6	ridiculously low
49	wish someone luck
47	quick lunch
41	machine whirrs
42	major point
4	major problem
52	make good progress
1, 7	make a mistake
48	make modifications
11, 37	make money
49	make an observation
30	make photocopies
58	make a point
30	make preparations
11	make a profit
2, 7	make progress
1	make a recording
5	make redundant
33	make reference to
14, 30	make a reservation
42	make small talk
41	make a sound
49	make a speech
51	make a start
40	make time for
2	make your way
37	make a withdrawal
47	unhurried manner
39	margins of society
31	market forces
31	carry out market research
11, 25	win a match
4	matt paint
56	matter of opinion
22	Chinese/Mexican/French meal
22	nourishing meal
1	quick meal
22	ready meal
22	slap-up meal
1, 2	substantial meal
46	unit of measurement
44	tender meat
44	tough meat
11	win a medal
2	meet requirements
44	snow melts
54	painful memory
54	short-term memory
27	memory stick
54	stir up memories
22	set menu
17	razor-sharp mind
35	mindless vandalism
42	minor point
46	minute number
30	take the minutes
6	utterly miserable
56	serious misgivings
52	miss the point
5	missing teenager
13	patches of mist
37	money is tied up in
37	money is tight
37	raise money
37	save money
1	spend money
37	spend money on
37	squander money on
37	throw money at
37	waste money on
11	spend a month
21	take out a mortgage
47	in slow motion
15	mountains tower
15	rocky mountains
15	snow-covered mountains
45	your mouth
10	shut your mouth
47	rapid movement
57	much prefer
41	muffled sound
24	music scene
24	piece of music
24	write music
24	musical talent
21	a place of my own
42	neighbouring town
25	set a new world record
23	nominate for an Oscar
18	straight nose
18	upturned nose
4	pang of nostalgia
27	make a note
60	have nothing but praise for
46	odd number
46	rise in the number of
46	significant number
42	small number
46	substantial number
46	surprising number
46	tiny number
4	up-tempo number
60	strenuously object
6, 60	strongly object
28	obtain a qualification
21	sad occasion
10	unique occasion
21	off-road parking
59	take offence
35	young offender
38	offer resistance
58	refuse an offer
3	take someone up on an offer
44	oily skin
27	online resources
23	opening scenes
55	share an opinion
56	share someone’s opinion on
3	state an opinion
25	foul your opponent
25	tackle an opponent
57	pass up the opportunity
6	strongly opposed
50	run up against opposition
57	take the soft option
57	weigh up the options
38	restore order
53	predictable outcome
53	unexpected outcome
53	unforeseen outcome
17	outgoing personality
36	outline plans
60	outstanding performance
60	receive a standing ovation
45	overpowering stink
54	ridiculously over-sensitive
16	overpriced restaurant
50	pace up and down
3	pain subsides
3	racked with pain
3	relieve pain
26	relieve the pain
2, 3	sharp pain
3	soothe pain
3	suffer from pain
26	unbearable pain
57	painfully shy
47	painfully slow
42	painfully thin
15	panoramic view
10, 19	single parent
32	play a part
40	pass the time
40	time passes
1	valid passport
27	log in with username and password
40	recent past
41	patter of rain
9	pay tribute
47	prompt payment
38	peace treaty
25	practise taking a penalty
25	take a penalty
44	sharp pencil
12	people pour
12	people stream
12	people trickle
24	virtuoso performance
45	whiff of perfume
34	rules permit
42	plump person
35	rob a person
54	sensible person
54	sensitive person
42	skinny person
42	slim person
42	tall person
18	well-built person
1	take a photo
9	take photos
47	pick up speed
13	wind picks up
15	take a picture
24	play a piece
44	soft pillow
27	place to start
23	play the role of
25	play rugby
25	play sport
25	play table tennis
25	play tennis
17	play a trick on
59	take pleasure
55	see someone’s point
5	police crack down
5	police quiz
35	political prisoner
39	tackle pollution
4	pose a problem
3	take up a position
13	pour with rain
46	widespread poverty
11	is powered by software
60	sing someone’s praises
60	win praise
59	state a preference
59	strong preference
40	prehistoric times
26	prescribe tablets
29	effective presentation
29	interactive presentation
29	prepare a presentation
29	presentation software
37, 48	price rises
37	price soars
37	price war
4	prices rise
5	pump prices
37	ridiculous price
37	rock-bottom price
5	slash prices
22, 37	reasonably priced
16	pricey restaurant
4	sense of pride
17	swallow your pride
4	well with pride
59	take pride
5	prime suspect
38	take prisoner
11	win a prize
9	have problems
50	run into problems
39	world-wide problem
53	produce results
60	put on a production
1	take up a profession
48	profits rise
23	see a programme on television
26	stick to a programme
23	watch a programme on television
47	rapid progress
51	promising start
47	prompt reply
47	prompt response
32	propose a theory
5	prosecute trespassers
4	smile proudly
28	provide training
5	receptacle provided
31	go public
29	public speaking
36	publish a story
4	pull steadily
34	severely punished
50	stride purposefully
32, 58	put forward a theory
28	recognise qualifications
42	small quantity
29	deal with questions
48	raise a question
3	raise questions
47	quick shower
49	quick word
13	torrential rain
49	raise a subject
48	raise taxes
46	rare coin
46	rare species
46	rate rises
60	rave review
43	ray of sunlight
34	reach a verdict
47	swift reaction
6	strongly recommend
49	speak off the record
47	speedy recovery
47	swift recovery
8	turn red
27	refine your search
34	regulations require
34	regulations stipulate
58	reject a suggestion
4	release a CD
59	relish the thought
46	remain stable
54	if I remember rightly
54	vaguely remember
54	vividly remember
54	remind someone strongly of
24	remix a track
11	gain a reputation
33	research suggests
18	bear striking resemblance to
52	win respect
47	speedy response
47	swift response
17	sense of responsibility
53	unforeseen result
45	revolting stench
48	revolutionise the way
37	seriously rich
6	ridiculously short
6	ridiculously small
40	right on time
41	shot rings out
53	spark off riots
46	rise sharply
46	rise steeply
48	the sun rises
2	sharp rise
9	take a risk
31	rival company
44	smooth road
41	roar of traffic
5	spending rockets
13	tear off roofs
44	rough sea
44	rough skin
44	rough surface
44	rough water
39	sleep rough
1	stick to the rules
41	rumble of thunder
53	spark off rumours
40	run out of time
36	run a story
41	rustling sound
31	sales figures
45	share the same taste in
40	save time
42	on a small scale
41	scratching sound
44	smooth sea
27	search by keyword
14	window seat
31	secret of your success
15	well worth seeing
17	selfish streak
54	sense tension
54	sensitive skin
54	sensitive teeth
35	serve a sentence of
19	trial separation
25	training session
30	set targets
43	be under the shadow of
16	shanty town
26	in good shape
32	shape our thinking
55	share a view
2	sharp turn
16	supermarket shops
37	in short supply
47	take a shortcut
41	shrill voice
38	sign a treaty
32	significant trend
29	keep simple
39	simple solution
44	sticky situation
44	smooth skin
44	velvety sky
18	slender waist
15	steep slope
47	slow-moving traffic
45	give off a smell
45	smell wafts
45	strong smell
45	smell off
12	sunny smile
44	smooth surface
44	smooth texture
44	smooth water
44	snow thaws
13	thick snow
13	soak up the sunshine
44	voice softens
4, 49	whisper softly
10	sole survivor
27	block spam
40	spare time
29	speak clearly
60	speak well
15	spectacular view
47	top speed
11	spend days
11	spend a month/week
40	spend some time
2	spend your time
20	spoil a friendship
31	take on staff
29	stand up straight
43	star twinkles
35	steal something
47, 50	take steps
45	over-powering stink
49	tell a story
23	true story
12	stream of traffic
12	stream of visitors
15	stream winds
39	take to the streets
18	bearing a striking resemblance to
50	take a stroll
13	strong sun
32	strong tendency
13	strong wind
6	strongly argue
6	strongly feel
6	strongly suggest
6	strongly support
28	study a subject
6	utterly stupid
28	take a subject
5	submit a tender
27	subscribe to online journals
13	unbroken sunshine
30	supervise work
46	widespread support
4	swell with pride
50	walk swiftly
11	take clothes
59	take pride in
5	take responsibility
40	take your time
9	take a train
9	take a trip
30	take on work
42	tall tree
7	throw a tantrum
23	watch television
40	tell someone the time
49	tell the truth
35	vehicle theft
26	damaged things
60	think the world of someone
60	thoroughly disapprove
40	waste time
29, 49	tone of someone’s voice
16	volume of traffic
48	power to transform
11	win a trophy
47	turn something upside down
8	turn white
31	annual turnover
1	watch TV
15	uninterrupted view
27	update regularly
27	upload your files
16	upmarket shops
16	urban wasteland
6	utterly wrong
29	visual aids
50	walk stiffly
11	win a war
27	do a web search
11	spend a week
60	speak well of
40	worth your while
13, 41	wind whistles
1	write a song
