1, 22	be at loggerheads
17	hang by a thread
17	on a knife-edge
17	be out on a limb
17	panic stations
17, 53	by the skin of your teeth
18	give sth your all
18	go all out
18	at a push
18	be as easy as taking candy from a baby
18	have a bash
18	be a piece of cake
18	child's play
18	a doddle
18	be as easy as pie
18	pull your finger out
18	go out of your way to do sth
18	go through the motions
18	have a go at
18	heavy-going
18	be child's play
18	pull your weight
19	not go amiss
19	I wouldn't touch sb/sth with a barge pole.
19	be duty bound to do sth
19	if push comes to shove
19	would not be seen dead
19	do your own thing
19	be dying for/to
19	give anything
19	need sth like you need a hole in the head
19	if need be
19	in keeping with sth
19	be in luck
19	take your pick
19	(not) be worth your while
20	chance your arm
20	the cards are stacked against you
20	see sth coming (a mile off)
20	a foregone conclusion
20	the luck of the draw
20	be in the lap of the gods
20	take sb/sth for granted
20	Just my luck!
20	push your luck
20	take pot luck
20	You should be so lucky!
20, 23	see/spot sth a mile off
20	on the off-chance
20	be touch-and-go
21	airs and graces
21	anybody who is anybody
21	keep up appearances
21	new blood
21	politically correct
21	a rough diamond
21	down-and-out
21	a high-flyer
21	keep a low profile
21	make a name for yourself
21	the odd one out
21	a pillar of society
21	toffee-nosed
21, 25	up-and-coming
21	on your way up
22	keep sb/sth at bay
22	be in sb's good books
22	at cross-purposes
22	get on like a house on fire
22	get/be/stay in touch with sb
22	have a soft spot for sb
22	have it in for sb
22	have it out with sb
22	be/get/stay in touch with sb
22	keep in touch with sb
22	keep yourself to yourself
22	make it up to sb
22	stay/be/get in touch with sb
22	two-time sb
23	Big deal!
23	make a big thing of
23	make it big
23	think big
23	caught in the middle
23	be a far cry from sth
23	in small doses
23, 24	a small fortune
23	the middle ground
23	loom large
23	be larger than life
23	in the middle of nowhere
23	stand/stick out a mile
23	be miles away
23	an unknown quantity
23	all shapes and sizes
23	spot/see sth a mile off
24	at a (considerable) price
24	tighten your belt
24	be/live on the breadline
24	lose a small fortune
24	make a small fortune
24	make a killing
24	be in the lap of luxury
24	live/be on the breadline
24	in the lap of luxury
