unit	collocation
21	show of unity
51	show a decrease
51	show an upward trend
59	sick with worry
59	worried sick
12	throw a sickie
59	take a sideswipe
3	simple truth
57	not lose any sleep
14	slight decrease
21	slim majority
3	standards slip
47	slur your words
45	warm smile
24	tasty snack
3	snippet of information
10	soak up atmosphere
31	temperature soars
35	social fabric
19	social whirl
47	soft whisper
47	sound travels
49	sounds like hard work
4	source of entertainment
4	valuable source
42	sources close to
46	waste of space
3	spate of thefts
9	strictly speaking
29	spectacularly successful
22	speculation excite special
54	flurry of special
13	fuel special
53	prompt special
26	sunny spells
19	spring a surprise on
12	stage a strike
38	stand trial
49	state of confusion
7	stinking rich
39	stockpile weapons
42	sell your story
17	straight -A student
48	in a straightforward way
45	stubborn streak
21	test of strength
25	train strike
39	surgical strike
54	stroke of work
56	uphill struggle
25	stuck in traffic
17	straight-A student
18	undertake a study
13	subscribe to the theory
14	substantial decrease
55	subtle difference
55	subtle distinction
37	suffer from chronic a disease
28	tentative suggestion
18	support the hypothesis
56	sweat blood
48	take the time to
13	take the view that
40	take something the wrong way
15	target audience
12	work as a team
36	wear and tear
52	terminate a contract
18	test a theory
57	thought occurred to me
4	turn your thoughts to
6	weighty tome
31	toxic waste
23	uphold a tradition
25	bring traffic to a standstill
25	ease traffic congestion
25	getting stuck in traffic
25	traffic gridlock
25	train operator
51	undergo a transformation
25	local transport links/services
4	pay tribute to
39	withdraw troops
57	cause any trouble
57	go to any trouble
57	put someone to any trouble
39	uneasy truce
40	win someone’s trust
42	reveal the truth
38	unanimous verdict
4	underestimate the value of
26	unexplored wilderness
38	unreliable witness
57	be up for doing something
47	not utter a word
55	wide variation
50	wide variety
19	perfect venue
15	go viral
19	whirlwind visit
22	vociferous opponent
11	volume of work
42	fairytale wedding
36	Wi-Fi hotspots
1	words of wisdom
7	absolutely wonderful
25	work from home
55	world of difference
24	banish wrinkles
