unit	collocation
53	establish a cause
53	primary cause
53	root cause
60	cautiously optimistic
39	ceasefire comes into effect
23	festival celebrates
15	celebrity endorsement
21	impose censorship
14	chair a committee
4	face the challenge
49	relish a challenge
27	take up a challenge
4	tough challenge
44	meet the challenges
6	fat chance
4	have (got) the chance
27	jump at the chance
3	pass up a chance
27	precious little chance
6	slim chance
51	change comes about
51	change takes place
51	dramatic change
35	force for change
51	fundamental change
11	have a change of heart
51	implement a change
31	irreversible climate change
51	it would make a change
51	radical change
28	slight change of plan
51	sweeping change
51	change dramatically
51	change fundamentally
25	change gear
51	change imperceptibly
51	change radically
31	change your ways
51	changed man
51	changed woman
58	channel of communication
36	switch channels
45	display characteristics
58	reject a charge
38	trumped-up charges
32	rustic charm
26	have a special charm
20	idle chatter
4	cheap source
41	child prodigy
40	childhood friends
17	gifted children
50	wide choice
37	suffer from chronic disease
48	manageable chunk
54	sprinkling of cinnamon
40	circle of friends
38	extenuating circumstances
2, 38	mitigating circumstances
33	fraudulent claim
47	clap of thunder
22	clarify a position
54	touch of class
7	spotlessly clean
24	clean-shaven face
55	clear distinction
15	set yourself clear objectives
33	clear a debt
13	clear your desk
52	clear up confusion
34	current economic climate
24	clinically proven
40	close confidant
52	close off a street
43	cloud your judgement
54	clove of garlic
19	go clubbing
5	haven’t a clue
21	vital clue
8	coin a phrase
8	coin a term
37	shake off a cold
37	streaming cold
52	talks collapse
39	collateral damage
24	launch a new collection
24	long-lasting colour
37	come out of a coma
37	fall into a coma
28	come to a conclusion
41	not come to any harm
10	come down heavily on
60	dream comes true
28	come up with an idea
16	come up to standard
1	come up with a suggestion
41	live a comfortable life
22	decline to comment
58	fair comment
22	throwaway comment
38	commit a minor offence
16	honour a commitment
58	make a commitment
58	reaffirm a commitment
13	common knowledge
58	establish communication
25	commuter route
25	commuter town
25	commuter train
55	pale in comparison
53	compelling reason
14	fierce competition
16	healthy competition
16	complaint grounds for competition
16	handle a competition
8	lodge a competition
16	make a competition
16	take a competition seriously
49	complete disaster
40	complete stranger
7	completely dependent
7	completely different
7	completely separate
52	near completion
24	flawless complexion
49	deal with the complexities
30	comply with the law
44	comprehensive knowledge
44	good computer skills
36	shut down a computer
48	concentrate the mind
17	concentration wavers
3	mounting concern
42	tell your concerns
56	concerted effort
28	conclusion arrive at a computer
28	come to a computer
13	foregone computer
6	jump to a computer
18	conclusions back up computer
13	jump to computer
37	serious medical condition
46	cramped conditions
26	face severe weather conditions
35	poor sanitary conditions
5	conduct an investigation into a crime
21	hold a press conference
44	have every confidence in
59	shatter someone’s confidence
46	confined space
16	conform to safety regulations
18	confront issues
52	confusion clear up confidence
49	state of confidence
32	congested road
25	congestion charge
53	dire consequences
31	disastrous consequences
53	face the consequences
44	considerable experience
29	considerable reputation
11	under considerable pressure
43	constant nagging
49	constant struggle
28	constructive criticism
5	consult
29	consummate professional
11	network of contacts
26	contain your excitement
43	hold someone/something in contempt
38	contest a verdict
58	contract breach a constant
3	draw up a constant
58	enter into a constant
52	terminate a constant
1	flatly contradict
55	in marked contrast to
53	contributing factor
46	lasting contribution
28	exercise greater control over
36	by remote control
30	tighten controls
20	engage someone in conversation
20	hold a conversation
52	lull in the conversation
13	firm conviction
27	convincing victory
45	cool reception
40	cordial relations
17	core subject
33	cost-cutting measure
34	push up costs
39	launch a counter-attack
37	course of medication
17	sign up for a course
12	stay the course
46	over the course of time
28	cover every eventuality
18	cover a lot of ground
36	systems crash
53	drive someone crazy
54	dash of cream
54	dollop of cream
8	create a good impression
1	create an effect
8	create an impression
39	create instability
33	credit-card fraud
5	dig out info about a crime
5	investigate a crime
5	look into a crime
5	probe a crime
38	soaring crime rates
41	go through a midlife crisis
24	crinkly eyes
22, 37	critically ill
3	mounting criticism
18	in-depth critique
32	crowded street
47	let out a cry
23	cultural heritage
34	curb inflation
8	run up curtains
48	steep learning curve
38	custodial sentence
38	remand in custody
16	take your custom elsewhere
15	customer loyalty
16	regular customer
15	customer satisfaction
16	satisfied customer
43	slippery customer
36	power cut
30	cut through red tape
33	cut down on luxuries
36	cutting-edge design
11	put together a CV
22	damaging disclosure
23	perform a dance
49	grave danger
30	minimise danger
12	daunting task
29	dazzling display
45	dazzling smile
7	dead easy
60	dead keen
9	pronounce someone dead
59	hasten someone’s death
37	premature death
37	untimely death
47	deathly hush
22	re-open a debate
33	get into debt
33	outstanding debt
33	run up a huge debt
33	write off a debt
46	decades elapse
57	a decent night’s sleep
28	the deciding factor
28	reach the decision
21	declare independence
28	declare outright hostility
28	declare outright opposition
9	declare someone the winner
14	decline in demand
14	experience a decline
14	see a decline
14	show a decline
51	decrease show a decline
14	slight decline
14	substantial decline
7	deeply offensive
33	default on repayments
21	humiliating defeat
40	spring to someone’s defence
18	vigorous defence
25	lengthy delays
60	take delight in
41	juvenile delinquent
2	deliriously happy
21	deliver a speech
16	next-day delivery
14	satisfy a demand
53	demand an explanation
15	demographic profile
21	hold a demonstration
58	issue a denial
1	depart from a pattern
7	entirely dependent
7	totally dependent
39	deploy troops
33	put down a deposit
60	derive pleasure from
47	silence descends
12	fit the job description
60	get the recognition you deserve
31	eco-friendly design
24	designer label
32	desirable place to live
53	desired effect
46	shape your destiny
56	determined effort
44	develop a good relationship
37	go on a diet
19	stick to a diet
55	differ widely
55	difference subtle diet
55	world of diet
7, 55	entirely different
48	explore different ways
1	fundamentally different
7	slightly different
55	strikingly different
7	totally different
44	handle a difficult situation
4	difficult to pin down
49	experience difficulties
49	have difficulties
49	encounter a difficulty
46	dim and distant memory
19	wine and dine
19	wining and dining
10	dip into funds
10	dip into savings
56	get your hands dirty
43	play a dirty trick
55	the advantages outweigh the disadvantages
41	disaffected youth
49	disaster strikes
53	spell disaster
29	unmitigated disaster
16	offer a discount
8	make a discovery
28	leave something to someone’s discretion
52	enter into a discussion
37	infectious disease
37	suffer from a chronic disease
43	downright disgrace
45	thinly disguised
59	intense dislike
29	dismal failure
12	wrongfully dismiss
35	public disorder
59	disparaging remark
55	growing disparity
52	dispel a rumour
23	put on a display
31	disposal of household waste
43	disruptive influence
9	disseminate information
22	dissenting voice
47	distant echo
55	distinction clear distant
55	subtle distant
17	distinguished scholar
13	divided opinions
14	pay dividends
10	file for divorce
9	divulge a secret
9	divulge a source
11	do a job-share
37	do plenty of exercise
26	do the sights
27	do extreme sports
16	do a survey
11	do work
58	dodge the question
54	pack of dogs
54	pod of dolphins
37	exceed the recommended dose
14	nagging doubt
53	plant doubts
7, 45	downright rude
51	show a downward trend
35	draconian measures
51	dramatic shift
51	increase dramatically
3	draw up a contract
3	draw up a list
28	draw up a schedule
59	fill someone with dread
23	formal dress
23	wear traditional dress
35	underage drinking
1	go on an economy drive
35	fresh drive
3	drive recklessly
20	drop the subject
28	drum up support
31	run dry
47	dull thud
31	dump waste
12	relieve someone of their duties
32	residential dwellings
35	dysfunctional family
11	earn a good living
34	undeclared earnings
48	with remarkable ease
25	traffic eases off
48	easy option
48	take the easy way out
3	take it easy for a while
37	watch what you eat
34	uninterrupted economic growth
34	steer the economy
17	formal education
44	good level of education
53	feel the full effect
53	have a knock-on effect
53	ill effects
37	side effects
56	joint effort
56	strenuous effort
56	team effort
56	valiant effort
48	worth the effort
22	mislead the electorate
54	herd of elephants
57	drop someone an email
14	emergency meeting
10	dip into emergency funds
49	respond to an emergency
22	evidence emerges
31	vehicle emissions
54	flicker of emotion
54	whole gamut of emotions
20	empty promise
44	encyclopaedic knowledge
50	endless supply
8	make enemies
31	renewable energy
27	summon up the energy
39	engage in hostilities
15	engage with customers
25	engineering works
37	enjoy good health
7	thoroughly enjoy
48	enlist help
58	enter into a contract
21	enter into talks
36	enter your PIN
4	entertainment provide enter
4	source of enter
50	unbounded enthusiasm
7	entirely separate
22	passionate entreaty
17	meet the entry requirements
31	harmful to the environment
41	stable environment
50	epic proportions
26	sheer epic grandeur
4	simultaneous equation
36	install equipment
46	golden era
12	run errands
13	error of judgement
41	see the error of your ways
49	spot an error
35	riot erupts
39	violence erupts
39	violence escalates
8	make an escape
38	escape punishment
44	establish a good relationship
18	research ethics
60	state of euphoria
23	event marks
29	series of events
41	pander to someone’s every whim
38	give evidence
38	unreliable evidence
29	evoke an atmosphere evidence
55	exact opposite
30	exacting standards
7	wildly exaggerated
37	exaggerated the recommended dose
16	provide an excellent service
59	take exception to
51	exchange rates fluctuate
20	exchange news
20	exchange pleasantries
22	excite speculation
26	excitement contain your exchange
54	flurry of exchange
34	social exclusion
24	excruciatingly uncomfortable
37	gentle exercise
56	physical exertion
46	vast expanse
10, 60	live up to expectations
44	lack experience
14	experience a fall
14	experience a growth
14	experience a rise
1	team of experts
18	full explanation
58	offer an explanation
22	provide an explanation
26	intrepid explorer
15	exports are five times greater than imports
34	extend opportunity
5	request an extension
44	extensive knowledge
45	gruff exterior
6	have an eye for
26	keep your eyes peeled
35	the social fabric
6	face (up to) the facts
58	face a grilling
49	face a problem
57	face the thought of
38	face trial
28	deciding factor
2, 38	mitigating factor
3	fail miserably
7	faintly ridiculous
50	fair few
50	fair number (of)
14	see a fall
14	show a fall
41	fall into a pattern
23	festival falls on
33	falsify records
19	family gathering
35	low-income family
41	support a family
31	offshore wind farm
25	fare rises
24	fashion victim
24	high-street fashion
24	what’s in fashion
11	fast-track scheme
55	compare favourably with
59	fuel fears
52	spark fears
23	movable feast
57	feeble excuse
57	know the feeling
26	get itchy feet
13	fertile imagination
23	festival marks
23	hold a festival
23	observe a festival
23	festive mood
23	festive season
19, 23	join (in) the festivities
27	reach fever pitch
50	good few
27	take the field
58	field questions
43	pick a fight
37	fight for your life
49	fight for survival
52	lull in the fighting
38	find guilty
38	find not guilty
60	find happiness
31	find a solution
19	find time
18	present findings
36	publish findings
24	fine bone structure
24	fine lines
50	finite number
29	fire someone’s imagination
40	firm friends
13	it is my firm conviction
18	first-hand knowledge
54	shoal of fish
16	fit for purpose
27	pretty fit
59	fit of jealousy
10	fit in with plans
43	take the flak
36	flat-screen TV
22	flatly reject
54	flicker of hope
54	flicker of interest
54	flock of sheep
31, 49	widespread flooding
30	flout a rule
51	fluctuate wildly
51	share prices fluctuate
51	temperatures fluctuate
54	flurry of excitement
54	flurry of snow
54	flurry of speculation
19	flying visit
3	foam at the mouth
5	haven’t the foggiest idea
15	focus groups
31	food miles
19	plain food
35	force for good
13	foregone conclusion
46	foreseeable future
40	forge new relationships
46	restore to its former glory
18	formulate a theory
45	forthright manner
33	spend a fortune
9	tell someone’s fortune
20	foul language
20	four-letter word
39	fragile peace
58	frame a question
27	free kick
10	free up time
11	go freelance
40	friend for life
45	friendly smile
45	perfectly friendly
40	remain on friendly terms
40	close friends
40	lifelong friends
2	to and fro
59	give vent to your frustration
13	fuel speculation
24	full lips
17	full marks
16	full refund
37	make a full recovery
4	qualify fully
4	source of fun
55	fundamentally similar
4	source of funding
3	mounting fury
16	kick up a fuss
46	not-so-distant future
51	modest gain
1	gain marks
4	gain respect
20	opening gambit
55	yawning gap
22	gauge reaction
9	generally speaking
54	stroke of genius
27	get the hang of
23	get hitched
11	get your priorities right
12	get the sack
57	really get to someone
4	gift for languages
19	girls’ night out
30	give permission
9	give a reason
13	give something some thought
42	in the full glare of publicity
23	raise your glasses
54	glimmer of hope
54	glimmer of interest
54	glimmer of light
54	glimmer of understanding
24	glossy magazine
29	glowing review
6	go hand in hand with
19	go out for a meal
39	go on the offensive
11	go part-time
41	go through a phase
14	go into production
16	go shopping
12	go on strike
26	go trekking
27	go wild
46	go down in history
57	be on the go
27	score an own goal
9	state a goal
9	it goes without saying
44	good knowledge
50	good number (of)
50	good size
44	with good qualifications
5	really good
5	well good
20	juicy gossip
4	have got the chance
4	grab a seat
5	grab a snack
17	graduate from university
30	grant permission
41	take for granted
14	grasp the importance of
50	great significance
1, 50	(of) great importance
4	place great value on
7	greatly appreciate
7	greatly influence
31	introduce green taxes
59	inconsolable grief
59	outpouring of grief
16	grounds for complaint
28	necessary groundwork
14	see a growth
14	show a growth
34	steady growth
14, 34	stimulate growth
47	gruff voice
41	grumpy old man
15	guerrilla marketing
56	sweat our guts out
8	make a habit of
35	unfit for human habitation
32	hail a taxi
24	sun-damaged hair
36	halt production
56	get your (hands) dirty
28	reject out of hand
11	hand in your resignation
16	handle a complaint
59	suffer at the hands of
59	threat hangs over
56	hard slog
59	harebrained scheme
57	not mean any harm
36	harness technology
13	judge someone harshly
57	have a go at
56	have the muscle to
30	have an obligation
37	have an operation
45	have a quality
43	have no respect for
5	have a snack
26	have a stopover
27	have a whale of a time
5	have a word with
53	wreak havoc
41	hazy memory
6	head a team
31	risk to public health
60	heart leaps
17	learn by heart
20	open your heart to
6	with a light heart
40	heart-to-heart chat
31	searing heat
31	solar heating
29	heavily influenced
6	heavy responsibility
25	heavy traffic
12	heavy workload
32	hectic pace of life
60	high hopes
50	high percentage
49	high risk
12	high turnover of staff
24	hit the high street
26	spirits are high
36	high-definition TV
24	natural highlights
29	highly recommend
44	highly valued
9	speak very highly of
29	think highly of
16	face a hike
14	hike in prices
49	hinder progress
6	hit the rocks
16	put someone on hold
11	hold a position
1	there’s no place like home
44	hone your skills
57	to be brutally honest
13	honestly think
3	vain hope
57	sincerely hope
57	very much hope
26	hopelessly lost
6	hopping mad
19	play host to
45	open hostility
36	wireless hotspot
54	pack of hounds
32	long opening hours
12	unsocial hours
24	hugely popular look
54	touch of humour
49	overcome a hurdle
59	hurl insults
47	husky voice
18	supports the hypothesis
18	working hypothesis
57	bright idea
5	have absolutely no idea
59	laughable idea
13	rough idea
28	toy with an idea
33	identity theft
3	idle threat
32	rural idyll
9	profess ignorance
35	illegal substance
37	rare illness
13	imagination fertile ill
29	fire someone’s ill
3	withstand the impact
9	impart knowledge
9	impart wisdom
28	implement a plan
44	trust someone implicitly
44	of paramount importance
8	impression create an imports
8	create a bad imports
8	create a good imports
29	indelible imports
29	lasting imports
17	marked improvement
51	modest improvement
17, 51	room for improvement
51	show an improvement
7	wildly inaccurate
47	incessant noise
43	not trust an inch
35	incite violence
2	inclement weather
4, 33	source of income
33	supplement your income
51	modest increase
51	show an increase
14	slight increase
14	substantial increase
34	increase output
51	increase significantly
59	increase your stress levels
29	indelible impressions
18	research indicates
34	thriving industry
50	infinite patience
34	rampant inflation
7	strongly influence
29	strongly influenced
5	dig out info
